time	open	high	low	close	tick_volume	spread	real_volume
2025.10.13 19:58	1.15741	1.15744	1.15734	1.15744	46	0	0
2025.10.13 19:59	1.15744	1.15756	1.15743	1.15754	68	0	0
2025.10.13 20:00	1.15754	1.15759	1.15749	1.15759	33	0	0
2025.10.13 20:01	1.15759	1.15770	1.15759	1.15769	27	1	0
2025.10.13 20:02	1.15769	1.15771	1.15747	1.15753	98	0	0
2025.10.13 20:03	1.15751	1.15758	1.15748	1.15754	27	1	0
2025.10.13 20:04	1.15754	1.15754	1.15753	1.15753	6	1	0
2025.10.13 20:05	1.15753	1.15756	1.15748	1.15748	21	0	0
2025.10.13 20:06	1.15748	1.15759	1.15748	1.15758	21	0	0
2025.10.13 20:07	1.15759	1.15761	1.15756	1.15756	6	0	0
2025.10.13 20:08	1.15756	1.15760	1.15735	1.15737	29	0	0
2025.10.13 20:09	1.15737	1.15745	1.15737	1.15745	22	1	0
2025.10.13 20:10	1.15745	1.15745	1.15738	1.15743	24	0	0
2025.10.13 20:11	1.15743	1.15743	1.15733	1.15735	23	0	0
2025.10.13 20:12	1.15735	1.15743	1.15733	1.15736	38	0	0
2025.10.13 20:13	1.15737	1.15749	1.15737	1.15749	22	1	0
2025.10.13 20:14	1.15749	1.15754	1.15745	1.15753	60	0	0
2025.10.13 20:15	1.15753	1.15757	1.15743	1.15757	27	0	0
2025.10.13 20:16	1.15757	1.15757	1.15744	1.15747	19	1	0
2025.10.13 20:17	1.15747	1.15756	1.15747	1.15754	21	0	0
2025.10.13 20:18	1.15754	1.15754	1.15747	1.15750	26	0	0
2025.10.13 20:19	1.15750	1.15753	1.15742	1.15753	22	1	0
2025.10.13 20:20	1.15753	1.15758	1.15748	1.15750	17	0	0
2025.10.13 20:21	1.15751	1.15757	1.15750	1.15753	11	1	0
2025.10.13 20:22	1.15753	1.15754	1.15752	1.15753	5	1	0
2025.10.13 20:23	1.15753	1.15759	1.15752	1.15755	13	0	0
2025.10.13 20:24	1.15755	1.15755	1.15744	1.15745	13	0	0
2025.10.13 20:25	1.15745	1.15745	1.15740	1.15743	21	1	0
2025.10.13 20:26	1.15743	1.15749	1.15743	1.15748	19	0	0
2025.10.13 20:27	1.15748	1.15760	1.15748	1.15760	20	1	0
2025.10.13 20:28	1.15760	1.15768	1.15758	1.15763	31	0	0
2025.10.13 20:29	1.15763	1.15763	1.15755	1.15756	21	0	0
2025.10.13 20:30	1.15758	1.15759	1.15749	1.15751	14	0	0
2025.10.13 20:31	1.15751	1.15751	1.15745	1.15748	23	1	0
2025.10.13 20:32	1.15748	1.15755	1.15748	1.15750	10	0	0
2025.10.13 20:33	1.15750	1.15753	1.15749	1.15753	6	1	0
